Title,Terrain,Time of Day,Card Type,Gold Value,Points Value,Salvage Value,Home Value,Sprite File Path in Resources,Description 1,Description 2
Polite Kettle,Any,Any,Discovery,1,2,2,0,politekettle_sm, A kettle that informs its owner politely when its water is boiling. A fine addition to any household.,Lex receives 2 points. Polite Kettle is added to Lex’s inventory.
A Way Back,Any,Any,Discovery,3,1,1,0,hiddenpath_sm,"Lex can play discovery cards from the previous terrain up to two phases after this card is played, even if he has switched to a new terrain.","Lex can play discovery cards from the previous terrain up to two phases after this card is played, even if he has switched to a new terrain."
Scribbled Map,Any,Any,Discovery,2,1,1,0,hastilydrawnmap_sm,Lex can’t tell if the dark spot is a place or an oil stain. Only one way to find out!,"Depending on RNG/dice roll, Lex will either receive nothing and be trapped in the same terrain for 1 whole day-phase OR will find 5 gold."
Unicorn Hair,Any,Any,Discovery,10,10,0,0,unicornhair_sm,Hand increased by 2 while Lex is in possession.,"The maximum amount of cards Lex can hold increases by 2, and the item “Unicorn Hair” is added to Lex’s inventory. Lex is also given 10 points."
Knight’s Regimen,Any,Dawn,Discovery,1,4,0,0,knightsregimen_sm,Tired of spending heaps of gold on a trainer? This Regimen will give you the toned calves you need for just fifteen minutes a day!,Must be played in the Dawn phase. Lex can play two cards in the Afternoon phase instead of one.
Tattered Tent,Any,Any,Discovery - Home,1,1,2,5,tatteredtent_sm,Lex does not need to find a location to sleep while he is in possession of the Tattered Tent.,Lex does not need a place to sleep while this item is in his inventory.
Clear The Path,Swamp,Any,Discovery,1,2,2,0,clearthepath_sm,Lex travels to any terrain type. Can be used to counter any effect that would confine him to a specific terrain type or force him to move to a terrain type.,Lex travels to any terrain of his choosing. Can be played to counter any effect that would confine him to a specific terrain or force him to move to a specific terrain.
Ludlow’s Alchemy,Any,Any,Discovery,1,3,2,0,ludlowsalchemy_sm,Mushrooms have grown overnight. Lex receives 1 point. Provides medium shelter.,Lex receives a point for every morning he stays at the cabin. Provides medium shelter.
Love Letter,Any,Any,Discovery,0,0,0,0,loveletter_sm,How lucky! Lex discovers a small note tucked inside his cloak with +2 gold inside. The note is messily signed by his sister. (Love you too!),Lex receives 2 gold.
Old Log Cabin,Forest,Any,Discovery - Home,1,0,2,6,oldlogcabin_sm,Dawn: Mushrooms have grown overnight. Lex receives 1 point. Provides medium shelter.,
